sensor_key,sensor_description,value,last_shared_date,period(min)
CO@1_4_124,House 1_Floor1_Bathroom_Other_Window1,,,
CO@1_4_127,House 1_Floor1_Bathroom_Other_Door1,0.0,2023-12-06 11:53:00,
CO@1_4_13,House 1_Floor1_Kitchen_Other_Occupancy,0.0,2024-05-31 10:27:43,
CO@1_4_14,House 1_Floor1_Kitchen_Other_Window1,,,
CO@1_4_158,House 1_Floor1_Rear_Other_Door1,1.0,2023-12-21 10:40:25,
CO@1_4_2,House 1_Floor1_LivingRoom_Other_CO2,140.0,2024-06-05 13:56:26,4.99
CO@1_4_20,House 1_Floor1_Hallway_Other_Temperature,,,
CO@1_4_27,House 1_Floor1_Hallway_Other_Door1,1.0,2024-05-31 10:27:42,
CO@1_4_3,House 1_Floor1_LivingRoom_Other_Occupancy,0.0,2024-05-31 10:27:59,
CO@1_4_4,House 1_Floor1_LivingRoom_Other_Window1,,,
CO@1_4_7,House 1_Floor1_LivingRoom_Other_Door1,1.0,2024-04-19 06:36:44,
CO@1_4_70,House 1_Floor2_Landing_Other_Temperature,16.96,2024-06-05 13:56:21,2.99
CO@1_4_80,House 1_Floor2_Bed1_Other_Temperature,19.51,2024-06-05 13:52:20,4.99
CO@1_4_81,House 1_Floor2_Bed1_Other_Humidity,60.68,2024-06-05 13:52:50,5.16
CO@1_4_82,House 1_Floor2_Bed1_Other_CO2,262.88,2024-06-05 13:52:20,5.0
CO@1_4_83,House 1_Floor2_Bed1_Other_Occupancy,0.0,2024-05-31 10:27:39,
CO@1_4_84,House 1_Floor2_Bed1_Other_Window1,1.0,2024-05-23 09:04:04,
CO@1_4_87,House 1_Floor2_Bed1_Other_Door1,0.0,2024-05-28 07:17:41,
CO@1_4_90,House 1_Floor2_Bed2_Other_Temperature,20.32,2024-06-05 13:52:45,5.0
CO@1_4_91,House 1_Floor2_Bed2_Other_Humidity,54.64,2024-06-05 13:53:15,4.92
CO@1_4_92,House 1_Floor2_Bed2_Other_CO2,322.88,2024-06-05 13:52:45,3.94
CO@1_4_93,House 1_Floor2_Bed2_Other_Occupancy,0.0,2024-06-05 13:50:32,20.51
CO@1_4_94,House 1_Floor2_Bed2_Other_Window1,1.0,2023-12-18 12:17:01,
CO@1_4_97,House 1_Floor2_Bed2_Other_Door1,0.0,2023-12-20 13:52:46,
CO@1_5_0,House 1_Floor_Global_HeatingControl_HeatDemandPWM,0.0,2024-06-05 13:52:19,5.0
CO@1_5_10,House 1_Floor1_Kitchen_HeatingControl_Setpoint,21.0,2024-03-28 13:23:37,
CO@1_5_11,House 1_Floor1_Kitchen_HeatingControl_Setpoint_Status,18.0,2024-05-24 17:15:36,
CO@1_5_13,House 1_Floor1_Kitchen_HeatingControl_HeatDemandPERC,0.0,2024-06-05 13:54:55,3.0
CO@1_5_14,House 1_Floor1_Kitchen_HeatingControl_HeatDemand_Status,0.0,2024-05-31 14:56:47,
CO@1_5_2,House 1_Floor_Global_HeatingControl_HeatDemand_Status,0.0,2024-05-24 17:15:32,
CO@1_5_200,House 1_Floor_Global_HeatingControl_CentralSetpoint_Control,18.0,2024-05-24 17:15:36,
CO@1_5_201,House 1_Floor_Global_HeatingControl_CentralSetpoint_Status,18.0,2024-05-24 17:15:36,
CO@1_5_202,House 1_Floor_Global_HeatingControl_CentralOnOff_Control,0.0,2024-03-14 09:16:17,
CO@1_5_203,House 1_Floor_Global_HeatingControl_CentralOnOff_Status,,,
CO@1_5_3,House 1_Floor_Global_HeatingControl_HotWater_Control,,,
CO@1_5_4,House 1_Floor_Global_HeatingControl_HotWater_Status,,,
CO@1_5_40,House 1_Floor2_Bed1_HeatingControl_Setpoint,18.0,2024-05-31 10:23:05,
CO@1_5_41,House 1_Floor2_Bed1_HeatingControl_Setpoint_Status,18.0,2024-05-31 10:23:05,
CO@1_5_43,House 1_Floor2_Bed1_HeatingControl_HeatDemandPERC,0.0,2024-06-05 13:54:56,3.0
CO@1_5_44,House 1_Floor2_Bed1_HeatingControl_HeatDemand_Status,0.0,2024-05-31 10:23:13,
CO@1_5_45,House 1_Floor2_Bed2_HeatingControl_Setpoint,18.0,2024-05-31 10:23:17,
CO@1_5_46,House 1_Floor2_Bed2_HeatingControl_Setpoint_Status,18.0,2024-05-31 10:23:17,
CO@1_5_48,House 1_Floor2_Bed2_HeatingControl_HeatDemandPERC,0.0,2024-06-05 13:54:48,3.0
CO@1_5_49,House 1_Floor2_Bed2_HeatingControl_HeatDemand_Status,0.0,2024-05-31 11:56:17,
CO@1_5_5,House 1_Floor1_LivingRoom_HeatingControl_Setpoint,,,
CO@1_5_6,House 1_Floor1_LivingRoom_HeatingControl_Setpoint_Status,18.0,2024-05-24 17:15:36,
CO@1_5_8,House 1_Floor1_LivingRoom_HeatingControl_HeatDemandPERC,0.0,2024-06-05 13:54:55,3.0
CO@1_5_9,House 1_Floor1_LivingRoom_HeatingControl_HeatDemand_Status,0.0,2024-06-01 09:42:46,
CO@2_0_1,House 2_Floor_Global_Electric_Voltage,248.6999969482422,2024-06-05 13:41:48,586.39
CO@2_0_10,House 2_Floor1_LivingRoom_Electric_Sockets_Control,,,
CO@2_0_11,House 2_Floor1_LivingRoom_Electric_Sockets_Status,,,
CO@2_0_122,House 2_Floor2_Landing_Electric_Lights_Control,0.0,2024-05-21 12:08:29,
CO@2_0_123,House 2_Floor2_Landing_Electric_Lights_Status,0.0,2024-05-21 12:08:29,
CO@2_0_125,House 2_Floor2_Landing_Electric_Lights_Current,0.0,2024-03-12 13:48:49,
CO@2_0_126,House 2_Floor2_Landing_Electric_Lights_Power,0.0,2024-03-12 13:48:49,
CO@2_0_128,House 2_Floor2_Landing_Electric_Lights_CumEnergy,,,
CO@2_0_13,House 2_Floor1_LivingRoom_Electric_Sockets_Current,,,
CO@2_0_130,House 2_Floor2_Bed1_Electric_Lights_Control,0.0,2024-05-23 09:32:39,
CO@2_0_131,House 2_Floor2_Bed1_Electric_Lights_Status,0.0,2024-05-23 09:32:39,
CO@2_0_133,House 2_Floor2_Bed1_Electric_Lights_Current,0.0,2024-05-23 09:32:44,
CO@2_0_134,House 2_Floor2_Bed1_Electric_Lights_Power,0.0,2024-05-23 09:32:43,
CO@2_0_136,House 2_Floor2_Bed1_Electric_Lights_CumEnergy,,,
CO@2_0_138,House 2_Floor2_Bed2_Electric_Lights_Control,,,
CO@2_0_139,House 2_Floor2_Bed2_Electric_Lights_Status,,,
CO@2_0_14,House 2_Floor1_LivingRoom_Electric_Sockets_Power,,,
CO@2_0_141,House 2_Floor2_Bed2_Electric_Lights_Current,,,
CO@2_0_142,House 2_Floor2_Bed2_Electric_Lights_Power,1087295717.0,2023-12-19 06:52:29,
CO@2_0_144,House 2_Floor2_Bed2_Electric_Lights_CumEnergy,,,
