#,Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date of Registration,Nationality,Dead Weight,LRN
641,RUHRTAL,RTAL,FREIGHTER,507300,87.98,12.8,5.51,2461,1369.00,MADEIRA,02/05/2005,PORTUGAL,3707.00,9313682
642,RUM JUNGLE,RJUN,MISCELLANEOUS,20245,22.80,5,2.00,50,38.00,,,,,235014165
643,RUTH,RUTH,FREIGHTER,28813,134.44,22,99.00,9981,6606.00,LIMASSOL,01/10/2006,CYPRUS,11253.00,9376036
644,SAGA PEARL 2,SPII,CRUISE,146961,164.35,22,6.00,18627,6267.00,VALLETTA,,MALTA,2952.00,8000214
645,SAGA RUBY,SRUB,CRUISE,20162,191.09,25,8.00,24492,9356.00,VALLETTA,,MALTA,5954.00,7214715
646,SAGA SAPPHIRE,SSAP,CRUISE,20162,199.63,28,8.00,37049,13555.00,VALLETTA,22/12/1980,MALTA,5168.00,7822457
647,SAGA WIND,SAWD,FREIGHTER,28813,199.20,30.57,11.82,29381,14155.00,HONKG KONG,01/11/1994,CHINA,47053.00,9074078
648,SAIL,SAIL,FREIGHTER,507300,91.46,13.6,6.00,2818,,ST JOHNS,,ANTIGUA BARBUDA,4222.00,9114713
649,SAIMAAGRACHT,SGRACHT,FREIGHTER,20246,185.00,26,7.00,18321,7647.00,ROTTERDAM,01/01/2005,NETHERLANDS,23660.00,9288069
650,SAINT-MALO,SAINT-MALO,FERRY,20212,194.70,,,40000,,,,,,
651,SALAMANCA,SAL,FERRY,20212,215.00,,,42000,,,,,,
652,SALAR,SALR,FREIGHTER,507300,82.73,13.00,5.08,2351,1206.00,HAMBURG,28/11/1988,,3432.00,8801125
653,SAMPOGRACHT,SAMPO,MISCELLANEOUS,20246,185.40,25,10.00,18321,7647.00,,03/12/2005,NETHERLANDS,23688.00,9288071
654,SAND FALCON,SAND FAL,DREDGER,28813,120.20,19.5,7.30,6534,,,,,9154.00,9151553
655,SAND FULMAR,SANDFUL,FREIGHTER,28813,99.90,19.6,7.78,5307,1592.00,CARDIFF,,UNITED KINGDOM,9153.00,
656,SAND HERON,SANDHERON,FREIGHTER,28813,99.00,16.5,6.54,3751,1125.00,SOUTHAMPTON,01/01/1990,UK,5916.00,8900701
657,SANTA 1,SANTA 1,CRUISE,28813,10.00,,,10,,,,,,
658,SANTA LUCIA,SLUC,FREIGHTER,28813,143.00,21,9.00,8507,4734.00,GRONINGEN,,NETHERLANDS,9566.00,9194921
659,SANTA MARIA,SAN,FREIGHTER,28813,143.00,21.82,9.27,8507,4734.00,MONROVIA,01/05/1999,LIBERIA,9566.00,9194957
660,SANTONA,SANTONA,FERRY,20212,214.50,,,40500,,,,,,
661,SARA,SARA,FUEL BARGE,202362,111.00,16,6.00,4156,1947.00,VALLETTA,16/09/1989,MALTA,6608.00,8814861
662,SARAH GREY,SAR,TUG,507300,25.00,9.6,1.85,106,,SOUTHAMPTON,01/01/1999,UK,,8956437
663,SCARLET LADY,SLADY,CRUISE,787265,277.00,,,110000,,,,,,
664,SCENIC ECLIPSE,SCENICECLIPSE,CRUISE,20162,166.00,,,17085,,,,,,
665,SCHWEIZ REEFER,SCHWZREEF,FREIGHTER,28813,158.13,24,10.00,13049,5353.00,NASSAU,,BAHAMAS,13930.00,9015216
666,SCOT BAY,SCOT BAY,FREIGHTER,563504,91.25,13.75,4.92,2595,1402.00,ROCHESTER,01/01/2001,UK,3154.00,9243930
667,SCOT LEADER,SLEA,FREIGHTER,20162,89.96,15,5.00,3183,1765.00,INVERNESS,01/08/2007,UNITED KINGDOM,4507.00,9404235
668,SCOT MARINER,SCOM,FREIGHTER,563504,89.98,13.75,4.92,2594,1395.00,ROTCHESTER,01/01/2001,UK,3313.00,9243916
669,SCOT NAVIGATOR,SCAN,FREIGHTER,563504,88.00,13.39,4.19,2571,1216.00,ROCHESTER,01/06/2017,UK,3732.00,9820348
670,SCOTSMAN,SCO,TUG,934842,24.39,,4.42,192,57.00,HULL,01/01/2007,UNITED KINGDOM,,9429883
671,SD BOUNTIFUL,SBOUNT,TUG,41412,29.14,9,4.00,271,81.00,LONDON,,UNITED KINGDOM,,9533787
672,SD CHRISTINA,SDCH,TUG,41412,21.19,9,3.00,121,,LONDON,,UK,,9533751
673,SD FAITHFUL,SDFAI,TUG,41412,38.84,9.43,4.25,384,115.00,LONDON,01/01/1984,UK,85.00,8401494
674,SD INDEPENDENT,SDIN,TUG,41412,26.14,9,4.00,99,99.00,,,,99.00,9539808
675,SD INDULGENT,SDIND,TUG,41412,26.09,9,4.00,186,,,,UNITED KINGDOM,,9540285
676,SD RELIABLE,SDREL,TUG,41412,29.00,9,4.00,99,99.00,,,,99.00,9533402
677,SD TEESDALE,SDTEE,FUEL BARGE,41412,54.00,9,9.00,499,301.00,LONDON,,UNITED KINGDOM,1050.00,7510274
678,SE POTENTIA,SEPOTEN,FREIGHTER,563504,138.50,21,,9627,,,,,,
679,SEA CLOUD II,SCII,CRUISE,20162,117.00,16,5.00,3849,1154.00,VALLETTA,01/01/2000,MALTA,780.00,9171292
680,SEA CLOUD SPIRIT,SCS,CRUISE,20162,138.00,17.2,5.65,4228,1268.00,VALLETTA,01/04/2021,MALTA,,9483712
681,SEA HUNTRESS,SEHU,MISCELLANEOUS,78322,52.20,9.98,3.20,822,246.00,VALLETTA,01/01/1995,MALTA,,1005643
682,SEA KESTREL,SEAK,FREIGHTER,571589,78.00,11,4.00,1382,794.00,GEORGE TOWN,,CAYMAN IS,2225.00,9006459
683,SEA MELODY,SEAM,FREIGHTER,507300,88.60,12.5,5.42,2545,1460.00,BRIDGETOWN,01/01/2001,BARBADOS,3783.00,9195638
684,SEA SHANNON,SHAN,FREIGHTER,563504,82.45,11.30,4.05,1670,,LEMMER,,NETHERLANDS,,9160047
685,SEA SPIRIT,SEASPT,CRUISE,202362,90.60,15.31,4.20,4200,1263.00,MADEIRA,13/02/1990,PORTUGAL,695.00,8802868
686,SEABED CONSTRUCTOR,SEACON,MISCELLANEOUS,202362,115.40,22,7.00,7883,2364.00,BERGEN,,NORWAY,6480.00,9682148
687,SEABOURN ODYSSEY,SEABOURN ODYSEEY,CRUISE,64766,198.00,,,32477,,,,,,
