#,Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date of Registration,Nationality,Dead Weight,LRN
425,KASKELOT,KAS,MISCELLANEOUS,500983,46.63,8,3.00,99,99.00,,,,0.00,5183120
426,KBB DUMMY SHIP,KBB,FREIGHTER,20099,99.00,99,99.00,99,99.00,,,,99.00,
427,KELT,KEL,FREIGHTER,507300,82.50,12.5,5.45,2409,993.00,GRONINGEN,,NETHERLANDS,3750.00,
428,KENDALL DUMMY SHIP,KEN,FREIGHTER,20139,99.00,9,99.00,99,99.00,,,,99.00,
429,KIM K,KIM,TUG,20162,22.00,9,3.00,135,0.00,,,NETHERLANDS,187.00,9470181
430,KINGSTON,KIN,TUG,28813,26.90,6,3.00,113,,,01/01/1963,UNITED KINGDOM,,5344437
431,KITHNOS,KIT,FUEL BARGE,202362,90.22,15,6.00,3220,4600.00,,,,4600.00,9371268
432,KLARA,KLARA,FREIGHTER,563504,166.15,22.9,9.80,15.549,6.09,MADEIRA,,PORTUGAL,19.36,9467160
433,KLIPPER STREAM,KLI,FREIGHTER,28813,150.00,22,9.00,9305,4983.00,SCHEVENINGEN,,NETHERLAND,5022.00,9167796
434,KNUD REFFER,KNU,FREIGHTER,20195,164.33,24,10.00,14406,6673.00,NASSAU,01/12/2011,BAHAMAS,16950.00,8903167
435,KUPER,KUPER,FREIGHTER,507300,89.25,13.3,,2891,,,,,,
436,L'AUSTRAL,L'AUSTRAL,CRUISE,202362,142.10,18,4.70,10944,,MATA UTU,,FRENCH,1441.00,9502518
437,LADY ROSE,LAD,FREIGHTER,28813,143.00,22,9.00,9576,5562.00,PANAMA,01/09/2009,PANAMA,10630.00,9355032
438,LAFJELL,LAF,FREIGHTER,563504,89.25,13.30,6.12,2891,,FLEKKEFJORD,,NORWAY,,
439,LAS PALMAS,LAS,FREIGHTER,28813,127.96,20,7.00,7360,3085.00,MADEIRA,23/07/2001,PORTUGUESE,3814.00,9216834
440,LE BOREAL,LE,CRUISE,202362,142.00,20,4.00,10944,3427.00,MATA-UTU,01/01/2004,FRENCH,1441.00,9502506
441,LE COMMANDANT CHARCOT,COMMANDANT CHARCOT,CRUISE,202362,149.90,,,30956,,,,,,
442,LE DUMONT D'URVILLE,LE DUMONT,CRUISE,202362,131.00,18,99.00,9900,,,,,,9814052
443,LE SOLEAL,LES,CRUISE,202362,142.10,20,4.00,10992,3440.00,MATA-UTU,06/12/2012,FRENCH,1441.00,9641675
444,LEANDER G,LEA,MISCELLANEOUS,20246,75.00,13,4.00,1930,579.00,HAMILTON,01/12/1992,BERMADU,0.00,1002445
445,LEISURE SCENE,LEIS,FERRY,20184,31.00,,,259,103.00,SOUTHAMPTON,,BRITISH,,
446,LENNEBORG,LENN,FREIGHTER,635040,108.17,18.47,7.01,5598,2883.00,DELFZIJL,12/03/2008,NETHERLANDS,8112.00,9421075
447,LIAMARE,LIA,FREIGHTER,507300,107.00,15.3,6.20,4112,2267.00,MAARTENSDIJK,,NETHERLANDS,5842.00,
448,LILBO,LILB,FREIGHTER,507300,82.50,12.6,5.28,2190,1051.00,SAINT JOHNS,01/01/1989,ANTIGUA & BARBUDA,3292.00,8818623
449,LINDAUNIS,LIN,FREIGHTER,28813,151.72,23.4,8.00,10585,5372.00,MONROVIA,,LIBERIA,12850.00,9483334
450,LINTAN,LINTA,FREIGHTER,563504,180.03,30.32,10.70,24785,13033.00,HONG KONG,01/01/2015,,39641.00,9715206
451,LISA,LIS,FREIGHTER,28813,137.50,21,7.00,7519,3570.00,SAINT JOHNS,06/09/2003,,8645.00,9287704
452,LISA D,LISD,FREIGHTER,563504,73.72,11.71,3.65,1162,585.00,ST JOHNS,27/01/1984,ANTIGUA & BARBUDA,1685.00,8205187
453,LISTERVIK,LIST,FREIGHTER,507300,89.96,13.6,5.71,2863,1394.00,TORSHAVN,,FAROE ISLANDS,3904.00,9136216
454,LOMBOK STRAIT,LOMBOK ST,FREIGHTER,28813,167.00,25,9.00,14413,7536.00,VALLETTA,01/01/2002,MALTESE,15917.00,9204958
455,LORD NELSON,LOR,MISCELLANEOUS,343839,52.20,8,4.00,368,110.00,SOUTHAMTON,,UK,0.00,1002495
456,LOUIS AURA,LOU,CRUISE,202362,160.11,22,6.00,15781,6919.00,VALLETA,01/05/1968,,2516.00,6821080
457,LS ANNE,LSA,MISCELLANEOUS,202362,105.50,17,6.00,3992,1819.00,GIBALTAR,01/08/2008,GIBRALTAR,5757.00,9418925
458,LUZON STRAIT,LUZON ST,FREIGHTER,28813,167.00,25,8.00,13700,4230.00,MONROVIA,01/01/2002,LIBERIA,11120.00,9204960
459,M/T PAXOI,MTP,FUEL BARGE,202362,102.70,17,6.00,4599,1958.00,MONROVIA,06/04/2009,,0.00,9382190
460,M/Y A,MYA,MISCELLANEOUS,20246,119.00,18,5.00,5959,1787.00,HAMILTON,01/01/2008,,1126.00,1009340
461,M/Y SCOUT,SCOUT,MISCELLANEOUS,78322,64.00,,3.30,1416,,,,,,
462,MAASHOLM,MAA,FREIGHTER,28813,151.72,23.4,8.00,10585,5372.00,MONROVIA,,LIBERIA,12850.00,9483346
463,MAERSK AHRAM,MAHR,FREIGHTER,28813,155.00,25,9.00,14557,7661.00,ALEXANDRIA,,EGYPT,17728.00,9164225
464,MAERSK BERWICK,MBER,FREIGHTER,28813,210.00,30,11.00,27093,12686.00,MAJURO,15/01/2002,,34622.00,9236638
465,MAERSK NEWBURY,MRSK NEWB,FREIGHTER,28813,210.00,30,11.00,26528,12715.00,SINGAPORE,,,34662.00,9231470
466,MAERSK NEWCASTLE,MNCAS,FREIGHTER,28813,210.00,30,11.00,26626,12.00,SINGAPORE,01/02/2001,DENMARK,34627.00,9215878
467,MAERSK NEWHAVEN,MRSK NHAV,FREIGHTER,28813,210.07,30,11.00,26718,12715.00,SINGAPORE,01/04/2001,DENMARK,34677.00,9215880
468,MAERSK NIAGARA,MRSK NIAG,FREIGHTER,28813,210.10,30.230,11.50,26.84,12.74,,,,33.43,
469,MAERSK NIAMEY,MRSK NIMY,FREIGHTER,28813,210.09,30.23,11.50,26836,12743.00,HONG KONG,,CHINA,33413.00,
470,MAERSK NIENBURG,MRSKNIENB,FREIGHTER,28813,210.00,30.230,11.50,26.84,,,,,33.46,
471,MAERSK NIJMEGEN,MRSK NIJM,FREIGHTER,28813,210.10,30,11.00,26836,12743.00,HONG KONG,22/05/2009,CHINA,3345.00,9434929
472,MAERSK NIMES,NIM,FREIGHTER,28813,210.09,30.23,11.50,26836,12743.00,HONG KONG,04/09/2009,,33447.00,9434931
473,MAERSK NITEROI,MRSK NITE,FREIGHTER,28813,210.09,30.23,11.50,26836,12743.00,HONG KONG,,CHINA,33411.00,
474,MAERSK NORTHAMPTON,MAENORTH,FREIGHTER,28813,210.00,30,11.00,26718,12715.00,SINGAPORE,25/09/2001,DANISH,34677.00,9215919
475,MAERSK NORTHWOOD,MNWOOD,FREIGHTER,28813,210.00,30,11.00,26582,12715.00,SINGAPORE,27/05/2006,,34627.00,9222118
476,MAERSK NORWICH,MNWICH,FREIGHTER,28813,210.00,30,11.00,26671,12679.00,SINGAPORE,27/05/2006,,34396.00,9301926
477,MAERSK NOTTINGHAM,MNOTT,FREIGHTER,28813,210.00,30,11.00,26833,12743.00,MONROVIA,,LIBERIA,34300.00,9275050
478,MAERSK SERVICE,MAERSK SERVICE,FREIGHTER,28813,99.00,,,99,,,,,,
479,MAERSK VISTULA,MVIST,FREIGHTER,28813,200.00,35,11.00,34882,16947.00,COPENHAGEN,,DENMARK,40000.00,9775737
480,MAGDALENA,MAGD,FREIGHTER,507300,88.29,13.2,5.46,2371,1434.00,,,ANTIGUA & BARBUDA,4247.00,8822600
481,MAGELLAN,MAG,CRUISE,20162,221.57,28,7.00,46052,24545.00,NASSAU,01/06/1985,,7186.00,8217881
482,MAIDEN CASTLE,MACA,TUG,1379997,30.52,10.00,4.10,314,94.00,PORTLAND,10/12/1992,UNITED KINGDOM,166.00,9054353
483,MAJESTY OF THE SEAS,MOTS,CRUISE,20162,268.00,,,73941,,,,,,
484,MANU PEKKA,MPEK,DREDGER,20193,47.93,15,15.00,0,680.00,,,,3.00,212701000
485,MARCO POLO,MPOLO,CRUISE,20162,176.28,23,8.00,22080,9081.00,NASSAU,01/01/1965,NORWEGIAN,5180.00,6417097
486,MARCUS,MARC,FREIGHTER,20162,87.90,12.8,5.45,2461,1369.00,ANTWERP,01/06/2021,,3712.00,9313656
487,MARELLA CELEBRATION,MARELLA,CRUISE,110214,215.00,27.26,7.70,33933,16050.00,VALLETTA,01/01/1984,MALTA,4243.00,8027298
488,MARELLA EXPLORER,MAREXP,CRUISE,110214,262.00,,,76998,,VALLETTA,,,,9106297
489,MARELLA EXPLORER 2,MAREXP2,CRUISE,110214,248.00,32.23,7.82,71545,,VALLETTA,01/01/1995,MALTA,,9072446
490,MARELLA TENDER,MAT,MISCELLANEOUS,110214,21.00,,,18,,,,,,
491,MARFET NIOLON,MARFET NIOLON,FERRY,20162,123.00,19,,7395,,,,LUXEMBORG,5282.00,8912388
492,MARIANNE,MAR,FREIGHTER,28813,210.07,30,11.00,26718,12715.00,SINGAPORE,01/07/2001,DENMARK,34723.00,9215907
493,MARIETJE HESTER,MARHE,FREIGHTER,507300,82.50,12.5,5.45,2409,993.00,DELFZIJL,01/04/2005,NETHERLANDS,3200.00,9279032
494,MARINA,MARINA,CRUISE,20162,238.00,,7.60,66084,28485.00,MAJURO,01/04/2010,MARSHALL ISLANDS,8676.00,9438066
,,,,,,,,,,,,,,
495,MARKEB,MKEB,MISCELLANEOUS,202362,72.00,13,4.00,1594,478.00,PANAMA,,,1167.00,7424724
496,MARKSMAN,MARKSMAN,TUG,566408,24.50,11.3,3.50,268,80.00,,,,150.00,
497,MARTEN,MARTEN,FREIGHTER,507300,89.86,,5.65,2589,,LIMASSOL,01/05/2012,CYPRUS,3801.00,9617337
498,MAX WINNER,MWIN,FREIGHTER,28813,161.30,25,0.00,16162,0.00,MALTA,,MALTA,17350.00,9396610
499,MEIN SCHIFF 3,MS3,CRUISE,20162,294.00,35.8,8.25,99700,63078.00,VALLETTA,01/05/2014,MALTA,7900.00,9641730
500,MELLINA,MELL,FREIGHTER,1861492,94.40,16.95,6.00,3442,1032.00,ANTWERP,01/02/2023,BELGIUM,5150.00,9260689
501,MERCS JAFFNA,MJAF,FREIGHTER,28813,160.84,25,9.00,15636,6715.00,COLOMOBO,01/11/2010,SRI LAKA,16908.00,9431331
502,MERI,MER,FREIGHTER,563504,105.40,18.8,4.00,3360,,FINLAND,,,4835.00,9622502
503,MIDAS,MID,FERRY,163081,108.52,17.47,5.97,5873,,BRANDO,,FINLAND,,
504,MILA,MILA,FREIGHTER,507300,89.99,12.58,5.43,2528,,ALKMAAR,,NETHERLANDS,,9331335
505,MIMMI SCHULTE,MIMMI S,FREIGHTER,28813,188.85,30,10.00,27279,10008.00,SINGAPORE,01/08/2017,SINGAPORE,30205.00,9743473
506,MINERVA,MINERVA,FREIGHTER,20162,188.79,30.475,10.50,27.279,10.02,SINGAPORE,01/01/2015,SINGAPORE,30.08,9694426
507,MIRIAM,MIR,FREIGHTER,20162,140.59,21.800,7.34,7852,3285.00,ST JOHNS,03/04/2008,,9300.00,9436202
508,MITO,MIT,FREIGHTER,644009,147.80,23.25,8.50,9910,5032.00,SAINT JOHNS,,ANTIGUA & BARBUDA,13760.00,
509,MITSUI OCEAN FUJI,MITSUI OCEAN FUJI,CRUISE,644009,198.00,,,32477,,,,,,
510,MN TOUCAN,MNTO,FERRY,163081,116.07,20,5.00,9125,2737.00,MARSEILLE,28/07/1995,FRENCH,4253.00,9112466
511,MOGAMBO,MOG,MISCELLANEOUS,CASH,73.42,12,3.00,1682,509.00,GEORGE TOWN,,,0.00,9560780
512,MONJASA PROMOTER,MONPRO,FUEL BARGE,20162,83.40,12.94,5.65,2143,967.00,MONTOVIA,20/06/2008,,3600.00,9341421
513,MONJASA PROVIDER,MONJ,FUEL BARGE,20162,95.82,14,6.00,2889,1384.00,VALLETTA,07/05/2005,NORWEGIAN,4279.00,9327281
514,MONT ST MICHEL,MSM,FERRY,20212,173.15,28,6.00,34800,36000.00,CAEN,01/01/2002,FRANCE,7500.00,9238337
515,MOSELDIJK,MOS,FREIGHTER,507300,89.95,14.4,6.21,2967,1601.00,GRONINGEN,01/06/2010,NETHERLANDS,4927.00,9377913
516,MOVEMENT RESTRICTION,XXXXX,MISCELLANEOUS,507300,99.00,,,1234,,,,,,
517,MOVEMENT RESTRICTION1,XXXXXX,MISCELLANEOUS,507300,1.00,,,999,,,,,,
518,MPR3,MPR,MISC BARGE,202362,31.90,11,2.00,312,93.00,ROTTERDAM,01/11/2010,NETHERLANDS,,9611539
519,MTS INDUS,MIND,TUG,506212,25.26,6,3.00,97,0.00,,,UK,0.00,8884830
520,MTS VALOUR,MVAL,TUG,COMDCK,23.00,0,0.00,999,0.00,,,,0.00,9407299
521,MTS VIGILANT,MVIG,TUG,28813,30.08,9,3.00,309,92.00,KINGSTOWN,01/04/2009,UK,184.00,9533969
522,MTS VISCOUNT,MVIS,TUG,20195,35.01,10,4.00,369,110.00,NETHERLANDS,,,318.00,7610012
523,MUSKETIER,MUSKETIER,FREIGHTER,248689,88.60,12.52,4.70,2545,,GIBRALTAR,,UNITED KINGDOM,3850.00,9369514
524,MV ISARTAL,MV ISARTAL,FREIGHTER,507300,87.82,,5.59,2461,1369.00,MADEIRA,01/01/2005,PORTUGAL,3711.00,9313670
525,MY AVANTI,AVA,MISCELLANEOUS,78322,74.00,12,3.80,1790,,MAJURO,,MARSHALL ISLAND,,9860764
526,MY GAMECHANGER,MYG,CRUISE,CASH,69.15,11.48,3.35,1371,411.00,BIKINI,,MARSHALL ISLANDS,501.00,
527,MY GOLDEN ODYSSEY,MYGO,MISCELLANEOUS,78322,124.00,20,4.80,7690,,BERMUDA,,,700.00,9648788
528,MY MARIA,MYMAR,MISCELLANEOUS,20246,67.00,10,3.00,1200,360.00,JALUIT,27/01/2005,,0.00,1008774
529,MY MUSASHI,MMUS,MISCELLANEOUS,20246,87.78,13,4.00,2463,738.00,GEORGE TOWN,,NETHERLANDS,99.00,1010131
530,MY SONG,MSON,MISCELLANEOUS,CASH,40.00,8,5.00,99,99.00,,,UK,99.00,
531,NAB HOPPER BARGE,NHB,MISCELLANEOUS,575968,43.25,9,2.00,292,87.00,POOLE,01/04/1978,UK,525.00,895196
532,NARRATIVE,NARRATIVE,CRUISE,575968,226.00,,,55000,,,,,,
533,NAXOS,NAX,FUEL BARGE,202362,90.22,15,6.00,3220,1327.00,MONROVIA,,LIBERIA,4626.00,9371335
534,NEDERLAND REEFER,NED REEF,FREIGHTER,28813,158.13,24,10.00,13049,5353.00,NASSAU,01/01/1991,BAHAMAS,13958.00,9015199
535,NEEDLES,NEE,MISC BARGE,575968,43.97,8,2.00,292,87.00,POOLE,01/01/1979,UK,525.00,8995201
536,NEW HAMPSHIRE,NHAP,MISCELLANEOUS,CASH,59.50,11,5.00,1011,303.00,DOUGLAS ISLE,01/06/2016,ISLE OF MAN,204.00,108554
537,NEWTON,NEW,FREIGHTER,563504,74.93,10.6,3.37,1307,413.00,SAINT JOHNS,,ANTIGUA & BARBUDA,1529.00,
538,NG ENDURANCE,NG ENDURANCE,CRUISE,20162,124.00,,,12786,,,,,,
539,NG EXPLORER,NGEX,CRUISE,20162,112.00,16,8.00,6471,1942.00,NASSAU,22/05/1982,BAHAMAS,774.00,8019356
540,NG ORION,NGOR,CRUISE,20162,102.70,14,4.00,3984,1240.00,NASSAU,01/05/2003,BAHAMAS,668.00,9273076
541,NGONI,NGO,MISCELLANEOUS,CASH,58.00,9.54,5.30,396,,JERSEY,21/05/2020,JERSEY,1024.00,1013042
542,NICO,NICO,MISCELLANEOUS,177364,38.82,9,1.00,417,132.00,KLINTEBJERG,01/04/2007,DENMARK,0.00,8916853
543,NINA,NINA,FREIGHTER,507300,104.55,13.6,6.18,3289,1879.00,LIMASSOL,01/01/2003,CYPRUS,5751.00,9277278
544,NOBLEMAN,NOB,TUG,934842,24.39,9.15,5.10,145,0.00,HULL,,UNITED KINGDOM,83.00,9655901
545,NOORDDIJK,NOOD,FREIGHTER,563504,122.20,19.8,7.20,7580,3050.00,GRONINGEN,01/02/2020,,9214.00,9591820
546,NORA B,NORA B,TUG,28813,36.00,15,99.00,1,,,,NETHERLANDS,,9851270
547,NORDANA EMILIE,NORE,FREIGHTER,423437,138.19,21,8.00,9611,4260.00,ST JOHNS,01/01/2005,GERMAN,12714.00,9312169
548,NORDIC,NORDIC,FREIGHTER,563504,92.20,15,5.00,2989,896.00,URK,01/04/2013,NETHERLANDS,,9663001
549,NORDIC HAMBURG,NHA,FREIGHTER,28813,151.72,23,8.00,10585,5327.00,LIMASSOL,01/05/2010,GERMAN,13000.00,9514755
550,NORDIC LUEBECK,NOR,FREIGHTER,28813,151.72,23.4,8.00,10318,5391.00,MONROVIA,23/02/2011,,13200.00,9483683
551,NORMA D,NORD,DREDGER,20193,27.00,9,1.00,88,33.00,,,,0.00,232003935
552,NORMAN ASTURIAS,NORA,FERRY,90308,186.62,25,6.00,27414,8.00,BARI,,ITALY,7.00,
553,NORMAND PACIFIC,NORP,MISCELLANEOUS,20162,122.40,23,7.30,9778,2934.00,SKUDENESHAVN,,NORWAY,6700.00,9491977
554,NORMANDIE,ND,FERRY,20212,161.40,26,5.00,27541,16833.00,CAEN,15/05/1992,FRENCH,0.00,9006253
555,NORMANDIE EXPRESS,NEX,WAVE PIERCING CRAFT,20212,97.22,26,3.00,6581,2514.00,,,,750.00,9221358
556,NORWEGIAN STAR,NORWEGIAN STAR,CRUISE,20162,294.00,,,91740,,,,,,
557,NOVA K,NOV,TUG,20162,31.80,11,2.00,288,0.00,,,,0.00,9352365
558,OCEAN ADVENTURER,OADV,CRUISE,20162,100.01,16,4.00,4617,1443.00,NASSAU,19/04/1975,,1465.00,7391422
559,OCEAN ALBATROS,OCEANALBATROS,CRUISE,64766,104.40,21.227,5.30,8500,2368.00,NASSAU,01/03/2023,BAHAMAS,1613.00,9880661
560,OCEAN DIAMOND,OCEANDMND,CRUISE,20162,124.00,16.0,4.90,8282,,,,,,
561,OCEAN DIAMOND ZODIAC,ODZ,MISCELLANEOUS,20162,2.00,,,0,,,,,,
562,OCEAN DRAGON,ODRAG,MISCELLANEOUS,496227,25.50,7,2.00,148,0.00,,,,0.00,
563,OCEAN MAJESTY,OMAJ,CRUISE,423437,130.64,19,5.00,10417,4189.00,MADEIRA,,PORTUGAL,1031.00,6602898
564,OCEAN NOVA,ONOV,CRUISE,461744,72.80,11,7.00,2183,786.00,NASAU,,BAHAMAS,163.00,8913916
565,OCEAN ODYSSEY,OCEAN ODYSSEY,CRUISE,20162,104.40,,,0,,,,,,
566,OCEAN PROMISE,OPRO,FREIGHTER,28813,210.07,30,11.00,26718,12715.00,LONDON,03/03/2001,UK,34677.00,9215892
567,OCEAN SCENE,OCE,FERRY,20184,29.99,,,180,,SOUTHAMPTON,,BRITISH,,8633865
568,OCEANIC,OCNC,FREIGHTER,563504,92.20,15.000,4.90,2989,896.00,URK,,NETHERLANDS,3000.00,9624550
569,ONEGO BAYOU,ONE,FREIGHTER,563504,145.63,18.290,7.35,7,3.00,ANTIGUA AND BARMUDA,,,,9369069
570,ONEGO ELBE,ONEELB,FREIGHTER,20195,145.63,18.29,7.40,7878,3909.00,SAINT JOHNS,01/01/2008,ANTIGUA & BARBUDA,11083.00,9438573
571,OPAL,OPLA,TUG,20162,59.25,14,4.00,1678,503.00,VALLETTA,01/01/2009,,1337.00,9489479
572,OPDR CADIZ,OCAD,FREIGHTER,28813,127.94,20,7.00,7360,3085.00,MADEIRA,16/05/2002,`PORTUGESE,3822.00,9216858
573,OPDR TENERIFE,OTEN,FREIGHTER,28813,127.95,0,7.00,7360,3085.00,LIMASSOL,01/01/2002,CYPRUS,8400.00,9216846
574,OPERA,OPE,MISCELLANEOUS,78322,146.35,20,6.00,12518,,GEORGE TOWN,01/02/2023,CAYMAN ISLANDS,900.00,1012933
575,ORION,ORION,FREIGHTER,644009,98.68,,5.91,2.98,1.31,SNEEK,01/01/1998,NETHERLANDS,4.85,9143415
576,OTTO SVERDRUP,OTTOSVER,CRUISE,64766,138.50,21.5,5.15,15690,5624.00,TROMSO,08/12/2015,NORWAY,945.00,9231951
577,PACHUCA,PACH,FREIGHTER,20162,139.81,19.4,7.29,6901,3575.00,MADEIRA,,,9235.00,
578,PACIFIC CONSTRUCTOR,PAC,FREIGHTER,202362,115.40,22,7.10,8133,2364.00,SINGAPORE,,SINGAPORE,6480.00,
579,PACIFIC MERMAID,PACIFIC M,FREIGHTER,28813,141.80,22.8,8.81,9.82,3.54,MONROVIA,01/01/1992,LIBERIA,10.47,9045924
580,PACIFIC REEFER,PREEF,FREIGHTER,423437,175.72,,9.00,14505,7580.00,MONROVIA,,LIBERIA,17322.00,9179268
581,PATRIA,PAT,FREIGHTER,507300,82.38,12.5,4.20,2210,,,,,3519.00,
582,PEAK BELFAST,PBE,FREIGHTER,563504,89.95,14,6.80,2978,,HARLINGEN,01/03/2010,NETHERLANDS,3931.00,9544891
583,PEAK BERGEN,PBER,FREIGHTER,563504,89.95,14.0,5.54,2978,1384.00,HARLINGEN,01/01/2010,NETHERLANDS,3931.00,9544932
584,PEAK BREMEN,PBREM,FREIGHTER,563504,89.95,14.1,5.80,2978,1384.00,HARLINGEN,01/09/2022,NETHERLANDS,,
585,PELICAN,PEL,FERRY,20212,154.50,22.7,6.96,12076,3623.00,,,FRANCE,8847.00,9170999
586,PENGALIA,PENG,FREIGHTER,644009,129.60,20.6,7.40,7545,3165.00,MADEIRA,,PORTUGAL,8267.00,9440588
587,PERSEUS J,PRSJ,FREIGHTER,28813,140.38,23,8.00,10965,4714.00,LIMASSOL,02/04/2008,GERMAN,12558.00,9371414
588,PHILEMON,PMON,FREIGHTER,28813,157.69,23,8.00,11550,5839.00,SAINT JOHNS,16/03/2010,GERMAN,14483.00,9412517
589,PHOENIX,PHOEN,MISCELLANEOUS,78322,40.80,8.3,2.14,386,115.00,AVATIU,01/01/2021,COOK ISLANDS,75.00,9944510
590,PHRYNE,PYNE,MISCELLANEOUS,CASH,49.80,10,3.00,436,,,,,,
591,PINK GIN,PINK GIN,MISCELLANEOUS,20246,53.85,,4.50,219,,,,,,
592,POLAR STREAM,PSTREAM,FREIGHTER,423437,154.00,24,9.00,11417,5966.00,GRONINGEN,01/02/1999,NETHERLANDS,10449.00,9189885
593,POLARLIGHT,PLIGHT,FREIGHTER,423437,154.00,24,9.00,11417,5966.00,MONROVIA,,LIBIAN,,9189873
594,PONT AVEN,PA,FERRY,20212,184.30,30,6.00,41748,,,,FRANCE,4750.00,9268708
595,PONTOON 1,POTN1,MISCELLANEOUS,20191,55.00,6,1.00,100,,,,,,
596,PONTOON 2,PONT2,MISC BARGE,20191,38.00,10.5,1.00,100,,,,,,
597,POWER PLAY,POW,MISCELLANEOUS,20246,55.70,10.1,3.30,489,146.00,GEORGE TOWN,04/09/2018,,300.00,9781401
598,PREGOL HAV,PREG,FREIGHTER,507300,82.60,11.38,4.22,1616,758.00,SAINT JOHNS,09/02/1985,ANTIGUA & BARBUDA,2291.00,8519239
599,PRINCESS CAROLINE,PCARO,MISCELLANEOUS,821076,30.00,,2.00,10,10.00,,,,,8326357
600,PRINCESS DAPHNE,PDAP,CRUISE,202362,162.39,21,7.00,15833,5572.00,MADEIRA,01/10/2005,PORTUGAL,3610.00,5282627
601,PRISCILLA,PRIS,FREIGHTER,507300,88.97,11.8,5.00,2281,1229.00,ROTTERDAM,,NETHERLANDS,3250.00,9411745
